"","state","district","category","type","date","crimes","total_population","total_gdp","lat","lon"
"1","Johor","All","assault","causing_injury","2016-01-01",708,3651.8,233461.09,1.98048406862745,103.220223147059
"2","Johor","All","assault","causing_injury","2017-01-01",614,3697,247167.002,1.98048406862745,103.220223147059
"3","Johor","All","assault","causing_injury","2018-01-01",578,3749.4,261198.304,1.98048406862745,103.220223147059
"4","Johor","All","assault","causing_injury","2019-01-01",599,3761.2,268449.969,1.98048406862745,103.220223147059
"5","Johor","All","assault","causing_injury","2020-01-01",447,4009.7,256064.203,1.98048406862745,103.220223147059
"6","Johor","All","assault","causing_injury","2021-01-01",365,4020,262463.625,1.98048406862745,103.220223147059
"7","Johor","All","assault","causing_injury","2022-01-01",333,4028.3,284814.632,1.98048406862745,103.220223147059
"8","Johor","All","assault","causing_injury","2023-01-01",366,4107.2,296451.224,1.98048406862745,103.220223147059
"9","Johor","All","assault","murder","2016-01-01",70,3651.8,233461.09,1.98048406862745,103.220223147059
"10","Johor","All","assault","murder","2017-01-01",66,3697,247167.002,1.98048406862745,103.220223147059
"11","Johor","All","assault","murder","2018-01-01",43,3749.4,261198.304,1.98048406862745,103.220223147059
"12","Johor","All","assault","murder","2019-01-01",35,3761.2,268449.969,1.98048406862745,103.220223147059
"13","Johor","All","assault","murder","2020-01-01",36,4009.7,256064.203,1.98048406862745,103.220223147059
"14","Johor","All","assault","murder","2021-01-01",21,4020,262463.625,1.98048406862745,103.220223147059
"15","Johor","All","assault","murder","2022-01-01",30,4028.3,284814.632,1.98048406862745,103.220223147059
"16","Johor","All","assault","murder","2023-01-01",31,4107.2,296451.224,1.98048406862745,103.220223147059
"17","Johor","All","assault","rape","2016-01-01",274,3651.8,233461.09,1.98048406862745,103.220223147059
"18","Johor","All","assault","rape","2017-01-01",196,3697,247167.002,1.98048406862745,103.220223147059
"19","Johor","All","assault","rape","2018-01-01",187,3749.4,261198.304,1.98048406862745,103.220223147059
"20","Johor","All","assault","rape","2019-01-01",206,3761.2,268449.969,1.98048406862745,103.220223147059
